Delta,0
0,0.0004467548746027478
1,0.001895131140723277
2,0.004281070188901757
3,0.009766968450369921
4,0.02490620260213492
5,0.050966469673865644
6,0.09264608047901966
7,0.15395157927237507
8,0.1922078945722954
9,0.18842705267206541
10,0.1361154771745104
11,0.08068007196061838
12,0.03964380575936601
13,0.016020260862212962
14,0.005425283479472756
15,0.0019516035756101426
16,0.0004710604118849671
17,0.0001488507433218084
18,3.7831804975109327e-05
19,9.132209313988153e-06
20,1.2180265521746476e-06
21,1.824197526389649e-07
22,1.7646054608539097e-08
23,0.0
